title,url,description,image,geocodes
Census maps,https://www.ons.gov.uk/census/maps/?{groupcd}={areacd},"View Census 2021 data for {name,the} on a map",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/articles/censusmaps/2022-11-02/b178c24d.png,K04|E06|E07|E08|E09|W06|E02|W02|E00|W00
Custom profiles,https://stately-salamander-b9768e.netlify.app/build/#{areacd},"Build a custom area profile for {name,the} using census data",/img/custom-profiles-thumb.png,E00|E01|E02|E04|E05|E06|E07|E08|E09|E10|E11|E14|W00|W01|W02|W04|W05|W06|W07
Changes over time,https://www.ons.gov.uk/visualisations/censusareachanges/{areacd},"Read how {name,the} has changed since the 2011 Census",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/articles/howyourareahaschangedin10yearscensus2021/2022-11-08/9724e5a9.png,E06|E07|E08|E09|W06
Census quiz,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/articles/playthecensus2021quizhowwelldoyouknowyourarea/2022-12-02#{areacd},"Take our quiz and test your knowledge of {name,the}",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/wellbeing/articles/areyoungpeopledetachedfromtheirneighbourhoods/2019-07-24/d083b77e.png,E06|E07|E08|E09|W06
Income deprivation,https://www.ons.gov.uk/visualisations/dvc1371/#/{areacd},"Explore income deprivation {name,in} at a neighbourhood level",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/articles/mappingincomedeprivationatalocalauthoritylevel/2021-05-24/96c97858.png,E06|E07|E08|E09
Health index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/articles/howhealthhaschangedinyourlocalarea2015to2020/2022-11-09,"See how health in {name|the} compares to the rest of England",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/articles/howhealthhaschangedinyourlocalarea/2022-03-18/eb698ff5.png,E06|E07|E08|E09
